situacao,muninomex
IGNOR,MUNICIPIO IGNORADO - RO
ATIVO,ALTA FLORESTA D'OESTE
ATIVO,ARIQUEMES
ATIVO,CABIXI
ATIVO,CACOAL
ATIVO,CEREJEIRAS
ATIVO,COLORADO DO OESTE
ATIVO,CORUMBIARA
ATIVO,COSTA MARQUES
ATIVO,ESPIGAO D'OESTE
ATIVO,GUAJARA-MIRIM
ATIVO,JARU
ATIVO,JI-PARANA
ATIVO,MACHADINHO D'OESTE
ATIVO,NOVA BRASILANDIA D'OESTE
ATIVO,OURO PRETO DO OESTE
ATIVO,PIMENTA BUENO
ATIVO,PORTO VELHO
ATIVO,PRESIDENTE MEDICI
ATIVO,RIO CRESPO
ATIVO,ROLIM DE MOURA
ATIVO,SANTA LUZIA D'OESTE
ATIVO,VILHENA
ATIVO,SAO MIGUEL DO GUAPORE
ATIVO,NOVA MAMORE
ATIVO,ALVORADA D'OESTE
ATIVO,ALTO ALEGRE DOS PARECIS
ATIVO,ALTO PARAISO
ATIVO,BURITIS
ATIVO,NOVO HORIZONTE DO OESTE
ATIVO,CACAULANDIA
ATIVO,CAMPO NOVO DE RONDONIA
ATIVO,CANDEIAS DO JAMARI
ATIVO,CASTANHEIRAS
ATIVO,CHUPINGUAIA
ATIVO,CUJUBIM
ATIVO,GOVERNADOR JORGE TEIXEIRA
ATIVO,ITAPUA DO OESTE
ATIVO,MINISTRO ANDREAZZA
ATIVO,MIRANTE DA SERRA
ATIVO,MONTE NEGRO
ATIVO,NOVA UNIAO
ATIVO,PARECIS
ATIVO,PIMENTEIRAS DO OESTE
ATIVO,PRIMAVERA DE RONDONIA
ATIVO,SAO FELIPE D'OESTE
ATIVO,SAO FRANCISCO DO GUAPORE
ATIVO,SERINGUEIRAS
ATIVO,TEIXEIROPOLIS
ATIVO,THEOBROMA
ATIVO,URUPA
ATIVO,VALE DO ANARI
ATIVO,VALE DO PARAISO
IGNOR,MUNICIPIO IGNORADO - AC
ATIVO,ACRELANDIA
ATIVO,ASSIS BRASIL
ATIVO,BRASILEIA
ATIVO,BUJARI
ATIVO,CAPIXABA
ATIVO,CRUZEIRO DO SUL
ATIVO,EPITACIOLANDIA
ATIVO,FEIJO
ATIVO,JORDAO
ATIVO,MANCIO LIMA
ATIVO,MANOEL URBANO
ATIVO,MARECHAL THAUMATURGO
ATIVO,PLACIDO DE CASTRO
ATIVO,PORTO WALTER
ATIVO,RIO BRANCO
ATIVO,RODRIGUES ALVES
ATIVO,SANTA ROSA DO PURUS
ATIVO,SENADOR GUIOMARD
ATIVO,SENA MADUREIRA
ATIVO,TARAUACA
ATIVO,XAPURI
ATIVO,PORTO ACRE
IGNOR,MUNICIPIO IGNORADO - AM
ATIVO,ALVARAES
ATIVO,AMATURA
ATIVO,ANAMA
ATIVO,ANORI
ATIVO,APUI
ATIVO,ATALAIA DO NORTE
ATIVO,AUTAZES
ATIVO,BARCELOS
ATIVO,BARREIRINHA
ATIVO,BENJAMIN CONSTANT
ATIVO,BERURI
ATIVO,BOA VISTA DO RAMOS
ATIVO,BOCA DO ACRE
ATIVO,BORBA
ATIVO,CAAPIRANGA
ATIVO,CANUTAMA
ATIVO,CARAUARI
ATIVO,CAREIRO
ATIVO,CAREIRO DA VARZEA
ATIVO,COARI
ATIVO,CODAJAS
ATIVO,EIRUNEPE
ATIVO,ENVIRA
ATIVO,FONTE BOA
ATIVO,GUAJARA
ATIVO,HUMAITA
ATIVO,IPIXUNA
ATIVO,IRANDUBA
ATIVO,ITACOATIARA
ATIVO,ITAMARATI
ATIVO,ITAPIRANGA
ATIVO,JAPURA
ATIVO,JURUA
ATIVO,JUTAI
ATIVO,LABREA
ATIVO,MANACAPURU
ATIVO,MANAQUIRI
ATIVO,MANAUS
ATIVO,MANICORE
ATIVO,MARAA
ATIVO,MAUES
ATIVO,NHAMUNDA
ATIVO,NOVA OLINDA DO NORTE
ATIVO,NOVO AIRAO
ATIVO,NOVO ARIPUANA
ATIVO,PARINTINS
ATIVO,PAUINI
ATIVO,PRESIDENTE FIGUEIREDO
ATIVO,RIO PRETO DA EVA
ATIVO,SANTA ISABEL DO RIO NEGRO
ATIVO,SANTO ANTONIO DO ICA
ATIVO,SAO GABRIEL DA CACHOEIRA
ATIVO,SAO PAULO DE OLIVENCA
ATIVO,SAO SEBASTIAO DO UATUMA
ATIVO,SILVES
ATIVO,TABATINGA
ATIVO,TAPAUA
ATIVO,TEFE
ATIVO,TONANTINS
ATIVO,UARINI
ATIVO,URUCARA
ATIVO,URUCURITUBA
IGNOR,MUNICIPIO IGNORADO - RR
ATIVO,AMAJARI
ATIVO,ALTO ALEGRE
ATIVO,BOA VISTA
ATIVO,BONFIM
ATIVO,CANTA
ATIVO,CARACARAI
ATIVO,CAROEBE
ATIVO,IRACEMA
ATIVO,MUCAJAI
ATIVO,NORMANDIA
ATIVO,PACARAIMA
ATIVO,RORAINOPOLIS
ATIVO,SAO JOAO DA BALIZA
ATIVO,SAO LUIZ
ATIVO,UIRAMUTA
IGNOR,MUNICIPIO IGNORADO - PA
ATIVO,ABAETETUBA
ATIVO,ABEL FIGUEIREDO
ATIVO,ACARA
ATIVO,AFUA
ATIVO,AGUA AZUL DO NORTE
ATIVO,ALENQUER
ATIVO,ALMEIRIM
ATIVO,ALTAMIRA
ATIVO,ANAJAS
ATIVO,ANANINDEUA
ATIVO,ANAPU
ATIVO,AUGUSTO CORREA
ATIVO,AURORA DO PARA
ATIVO,AVEIRO
ATIVO,BAGRE
ATIVO,BAIAO
ATIVO,BANNACH
ATIVO,BARCARENA
ATIVO,BELEM
ATIVO,BELTERRA
ATIVO,BENEVIDES
ATIVO,BOM JESUS DO TOCANTINS
ATIVO,BONITO
ATIVO,BRAGANCA
ATIVO,BRASIL NOVO
ATIVO,BREJO GRANDE DO ARAGUAIA
ATIVO,BREU BRANCO
ATIVO,BREVES
ATIVO,BUJARU
ATIVO,CACHOEIRA DO PIRIA
ATIVO,CACHOEIRA DO ARARI
ATIVO,CAMETA
ATIVO,CANAA DOS CARAJAS
ATIVO,CAPANEMA
ATIVO,CAPITAO POCO
ATIVO,CASTANHAL
ATIVO,CHAVES
ATIVO,COLARES
ATIVO,CONCEICAO DO ARAGUAIA
ATIVO,CONCORDIA DO PARA
ATIVO,CUMARU DO NORTE
ATIVO,CURIONOPOLIS
ATIVO,CURRALINHO
ATIVO,CURUA
ATIVO,CURUCA
ATIVO,DOM ELISEU
ATIVO,ELDORADO DOS CARAJAS
ATIVO,FARO
ATIVO,FLORESTA DO ARAGUAIA
ATIVO,GARRAFAO DO NORTE
ATIVO,GOIANESIA DO PARA
ATIVO,GURUPA
ATIVO,IGARAPE-ACU
ATIVO,IGARAPE-MIRI
ATIVO,INHANGAPI
ATIVO,IPIXUNA DO PARA
ATIVO,IRITUIA
ATIVO,ITAITUBA
ATIVO,ITUPIRANGA
ATIVO,JACAREACANGA
ATIVO,JACUNDA
ATIVO,JURUTI
ATIVO,LIMOEIRO DO AJURU
ATIVO,MAE DO RIO
ATIVO,MAGALHAES BARATA
ATIVO,MARABA
ATIVO,MARACANA
ATIVO,MARAPANIM
ATIVO,MARITUBA
ATIVO,MEDICILANDIA
ATIVO,MELGACO
ATIVO,MOCAJUBA
ATIVO,MOJU
ATIVO,MOJUI DOS CAMPOS
ATIVO,MONTE ALEGRE
ATIVO,MUANA
ATIVO,NOVA ESPERANCA DO PIRIA
ATIVO,NOVA IPIXUNA
ATIVO,NOVA TIMBOTEUA
ATIVO,NOVO PROGRESSO
ATIVO,NOVO REPARTIMENTO
ATIVO,OBIDOS
ATIVO,OEIRAS DO PARA
ATIVO,ORIXIMINA
ATIVO,OUREM
ATIVO,OURILANDIA DO NORTE
ATIVO,PACAJA
ATIVO,PALESTINA DO PARA
ATIVO,PARAGOMINAS
ATIVO,PARAUAPEBAS
ATIVO,PAU D'ARCO
ATIVO,PEIXE-BOI
ATIVO,PICARRA
ATIVO,PLACAS
ATIVO,PONTA DE PEDRAS
ATIVO,PORTEL
ATIVO,PORTO DE MOZ
ATIVO,PRAINHA
ATIVO,PRIMAVERA
ATIVO,QUATIPURU
ATIVO,REDENCAO
ATIVO,RIO MARIA
ATIVO,RONDON DO PARA
ATIVO,RUROPOLIS
ATIVO,SALINOPOLIS
ATIVO,SALVATERRA
ATIVO,SANTA BARBARA DO PARA
ATIVO,SANTA CRUZ DO ARARI
ATIVO,SANTA ISABEL DO PARA
ATIVO,SANTA LUZIA DO PARA
ATIVO,SANTA MARIA DAS BARREIRAS
ATIVO,SANTA MARIA DO PARA
ATIVO,SANTANA DO ARAGUAIA
ATIVO,SANTAREM
ATIVO,SANTAREM NOVO
ATIVO,SANTO ANTONIO DO TAUA
ATIVO,SAO CAETANO DE ODIVELAS
ATIVO,SAO DOMINGOS DO ARAGUAIA
ATIVO,SAO DOMINGOS DO CAPIM
ATIVO,SAO FELIX DO XINGU
ATIVO,SAO FRANCISCO DO PARA
ATIVO,SAO GERALDO DO ARAGUAIA
ATIVO,SAO JOAO DA PONTA
ATIVO,SAO JOAO DE PIRABAS
ATIVO,SAO JOAO DO ARAGUAIA
ATIVO,SAO MIGUEL DO GUAMA
ATIVO,SAO SEBASTIAO DA BOA VISTA
ATIVO,SAPUCAIA
ATIVO,SENADOR JOSE PORFIRIO
ATIVO,SOURE
ATIVO,TAILANDIA
ATIVO,TERRA ALTA
ATIVO,TERRA SANTA
ATIVO,TOME-ACU
ATIVO,TRACUATEUA
ATIVO,TRAIRAO
ATIVO,TUCUMA
ATIVO,TUCURUI
ATIVO,ULIANOPOLIS
ATIVO,URUARA
ATIVO,VIGIA
ATIVO,VISEU
ATIVO,VITORIA DO XINGU
ATIVO,XINGUARA
IGNOR,MUNICIPIO IGNORADO - AP
ATIVO,SERRA DO NAVIO
ATIVO,AMAPA
ATIVO,PEDRA BRANCA DO AMAPARI
ATIVO,CALCOENE
ATIVO,CUTIAS
ATIVO,FERREIRA GOMES
ATIVO,ITAUBAL
ATIVO,LARANJAL DO JARI
ATIVO,MACAPA
ATIVO,MAZAGAO
ATIVO,OIAPOQUE
ATIVO,PORTO GRANDE
ATIVO,PRACUUBA
ATIVO,SANTANA
ATIVO,TARTARUGALZINHO
ATIVO,VITORIA DO JARI
IGNOR,MUNICIPIO IGNORADO - TO
ATIVO,ABREULANDIA
ATIVO,AGUIARNOPOLIS
ATIVO,ALIANCA DO TOCANTINS
ATIVO,ALMAS
ATIVO,ALVORADA
ATIVO,ANANAS
ATIVO,ANGICO
ATIVO,APARECIDA DO RIO NEGRO
ATIVO,ARAGOMINAS
ATIVO,ARAGUACEMA
ATIVO,ARAGUACU
ATIVO,ARAGUAINA
ATIVO,ARAGUANA
ATIVO,ARAGUATINS
ATIVO,ARAPOEMA
ATIVO,ARRAIAS
ATIVO,AUGUSTINOPOLIS
ATIVO,AURORA DO TOCANTINS
ATIVO,AXIXA DO TOCANTINS
ATIVO,BABACULANDIA
ATIVO,BANDEIRANTES DO TOCANTINS
ATIVO,BARRA DO OURO
ATIVO,BARROLANDIA
ATIVO,BERNARDO SAYAO
ATIVO,BOM JESUS DO TOCANTINS
ATIVO,BRASILANDIA DO TOCANTINS
ATIVO,BREJINHO DE NAZARE
ATIVO,BURITI DO TOCANTINS
ATIVO,CACHOEIRINHA
ATIVO,CAMPOS LINDOS
ATIVO,CARIRI DO TOCANTINS
ATIVO,CARMOLANDIA
ATIVO,CARRASCO BONITO
ATIVO,CASEARA
ATIVO,CENTENARIO
ATIVO,CHAPADA DE AREIA
ATIVO,CHAPADA DA NATIVIDADE
ATIVO,COLINAS DO TOCANTINS
ATIVO,COMBINADO
ATIVO,CONCEICAO DO TOCANTINS
ATIVO,COUTO MAGALHAES
ATIVO,CRISTALANDIA
ATIVO,CRIXAS DO TOCANTINS
ATIVO,DARCINOPOLIS
ATIVO,DIANOPOLIS
ATIVO,DIVINOPOLIS DO TOCANTINS
ATIVO,DOIS IRMAOS DO TOCANTINS
ATIVO,DUERE
ATIVO,ESPERANTINA
ATIVO,FATIMA
ATIVO,FIGUEIROPOLIS
ATIVO,FILADELFIA
ATIVO,FORMOSO DO ARAGUAIA
ATIVO,FORTALEZA DO TABOCAO
ATIVO,GOIANORTE
ATIVO,GOIATINS
ATIVO,GUARAI
ATIVO,GURUPI
ATIVO,IPUEIRAS
ATIVO,ITACAJA
ATIVO,ITAGUATINS
ATIVO,ITAPIRATINS
ATIVO,ITAPORA DO TOCANTINS
ATIVO,JAU DO TOCANTINS
