53,69.885.649/0001-33,Acme Corp.
54,30.446.632/0001-44,Looney Corp 
55,92.645.552/0001-75,Sirius Cybernetics Corp.
56,55.223.324/0001-80,Indústrias Rico
57,60.604.645/0001-65,Soylent Corp.
58,55.838.006/0001-24,Very Big Corp. of America
59,24.774.821/0001-43,Frobozz Magic Co.
60,45.988.297/0001-83,Warbucks Industries
61,39.452.697/0001-77,Tyrell Corp.
62,50.411.480/0001-51,Empresas Wayne
63,29.102.785/0001-95,Corporações Umbrella
64,30.975.556/0001-64,Indústrias Wonka
65,03.980.982/0001-13,Indústrias Stark
66,12.175.215/0001-22,Clampett Oil
67,35.509.685/0001-80,Oceanic Airlines
68,96.505.347/0001-65,Yoyodyne Propulsion Sys.
69,77.786.106/0001-97,Cyberdyne Systems Corp.
70,52.532.780/0001-14,Nakatomi Trading Corp.
